,Ticker,PreCovidMedianPrice,PreCovidMeanPrice,CovidMinPrice,CurrentPrice,PriceDipPercent,PriceRecoveryPercent,RemainingDipPercent
1146,HOTH,4.51,4.62,1.58,2.4,65.78,17.76,48.02
144,NC,49.52,53.3,17.95,27.82,66.32,18.52,47.81
1700,WINT,10.8,10.77,3.3,5.63,69.37,21.63,47.74
2686,PRA,39.12,38.69,13.1,20.48,66.14,19.07,47.07
914,STFC,32.33,32.24,12.18,17.28,62.22,15.82,46.4
740,SBT,9.85,9.4,2.65,5.1,71.81,26.06,45.74
1901,BLUE,87.75,88.25,40.39,47.89,54.23,8.5,45.73
1688,GTT,8.46,8.66,3.17,4.71,63.38,17.79,45.59
3120,NCMI,8.06,7.72,1.86,4.22,75.89,30.59,45.31
1335,CNK,36.25,36.11,6.58,19.81,81.78,36.64,45.14
2391,ETRN,13.08,12.68,4.08,6.97,67.83,22.78,45.05
2486,HNRG,3.27,3.25,0.62,1.8,81.09,36.43,44.67
348,HLX,8.58,8.61,1.0,4.79,88.39,44.0,44.39
240,CXDC,2.01,1.99,0.72,1.11,63.9,19.55,44.35
2181,CRBP,5.08,5.03,0.94,2.8,81.31,36.99,44.32
2712,CARE,19.76,20.37,6.32,11.36,68.98,24.74,44.24
2562,MG,14.29,14.49,2.91,8.12,79.92,35.95,43.98
1192,IMH,6.8,6.64,1.1,3.74,83.42,39.78,43.64
1009,TPHS,3.81,3.63,1.18,2.05,67.49,23.97,43.53
824,USAP,14.48,14.59,5.35,8.24,63.33,19.81,43.52
2340,ARTL,2.2,2.26,0.46,1.28,79.76,36.33,43.43
364,SABR,22.45,22.41,3.31,12.68,85.23,41.81,43.43
1780,SU,31.43,31.17,10.45,17.66,66.48,23.13,43.35
3144,RGS,18.5,18.63,4.63,10.57,75.15,31.89,43.26
1002,DSSI,14.85,14.06,5.6,7.98,60.17,16.93,43.25
1725,OPTN,8.23,8.37,3.2,4.75,61.75,18.53,43.23
563,AGS,11.35,11.24,1.05,6.4,90.66,47.59,43.07
2364,ASPS,19.27,19.6,6.31,11.18,67.8,24.85,42.95
844,BLU,6.94,6.89,2.14,3.93,68.92,25.99,42.93
2922,LCI,11.06,10.74,4.9,6.15,54.37,11.64,42.73
955,NERV,6.1,6.12,2.26,3.53,63.07,20.75,42.32
709,FCRD,6.76,6.76,1.56,3.91,76.91,34.79,42.12
656,VCNX,5.53,5.65,1.66,3.27,70.61,28.51,42.1
33,NOG,19.8,19.98,3.4,11.58,82.98,40.95,42.04
2940,RDI,11.64,11.54,2.27,6.69,80.32,38.32,42.0
2063,SIEB,9.39,9.55,3.2,5.56,66.5,24.71,41.79
735,TGI,24.88,24.56,3.43,14.35,86.04,44.45,41.58
1284,WLFC,59.42,58.94,14.98,34.52,74.59,33.15,41.44
417,FLMN,6.4,6.4,1.78,3.76,72.17,30.96,41.22
2352,VYNE,4.69,4.69,1.03,2.77,78.05,37.09,40.96
70,BA,362.5,358.81,95.01,211.95,73.52,32.59,40.93
25,ERF,6.6,6.76,1.3,4.01,80.77,40.09,40.67
2442,VNOM,25.44,26.15,5.18,15.54,80.19,39.62,40.57
1730,SYNL,14.86,14.35,3.92,8.55,72.69,32.26,40.43
1084,ZAGG,7.32,7.17,2.1,4.28,70.72,30.39,40.33
135,GEOS,15.03,15.02,4.8,9.01,68.05,28.03,40.02
1799,MRLN,23.6,23.01,5.5,13.82,76.1,36.16,39.94
1437,KBAL,20.58,20.25,8.8,12.18,56.55,16.69,39.86
2770,OKE,71.63,72.09,15.37,43.43,78.68,38.92,39.76
547,TK,4.9,4.79,1.72,2.89,64.12,24.41,39.71
3058,SATS,39.63,39.79,19.94,24.01,49.88,10.23,39.65
1465,RMTI,2.39,2.45,0.84,1.48,65.69,26.14,39.56
723,HTGM,11.34,11.4,4.14,6.9,63.69,24.21,39.48
228,EPM,5.63,5.61,2.14,3.4,61.87,22.45,39.42
460,NOV,22.6,22.53,8.01,13.65,64.44,25.04,39.41
2252,HFC,52.72,52.6,17.23,31.93,67.25,27.95,39.3
1606,LTRPA,8.87,8.35,0.88,5.09,89.46,50.41,39.05
3272,ADMA,4.39,4.49,1.5,2.74,66.58,27.63,38.94
1763,DK,35.86,36.11,8.85,22.14,75.49,36.8,38.69
2471,RCL,113.75,115.27,22.33,70.7,80.63,41.96,38.67
1109,OXY,40.8,41.31,8.88,25.45,78.51,40.11,38.4
2409,VVI,65.8,65.18,11.9,40.41,81.74,43.74,38.0
