Date,Open,High,Low,Close,Adj Close,Volume
2019-12-24,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-26,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-27,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,42.02000045776367,0
2019-12-30,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,200
2019-12-31,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-02,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-03,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-06,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-07,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-08,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,45.849998474121094,0
2020-01-09,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,800
2020-01-10,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,0
2020-01-13,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,0
2020-01-14,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,0
2020-01-15,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,45.95000076293945,0
2020-01-16,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,6000
2020-01-17,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-21,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-22,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-23,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-24,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-27,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-28,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-29,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
2020-01-30,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,44.88999938964844,0
